"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000163874",5.12994228477341e-41,3.88607964042105,8.74875014223214e-38,"Up"
"ENSG00000169067",7.33428281484446e-15,3.88466526971815,7.64687058896185e-13,"Up"
"ENSG00000041982",3.24338588894013e-11,3.871534024444,1.75201541819762e-09,"Up"
"ENSG00000134668",1.79616860419324e-34,3.85707948067326,1.64943544591222e-31,"Up"
"ENSG00000100368",1.36099988264199e-09,3.84274836858033,5.32934287017577e-08,"Up"
"ENSG00000224376",3.43522846388525e-05,3.84227912984576,0.000411951355116647,"Up"
"ENSG00000198768",2.7907641034848e-10,3.84216375649893,1.24779557555811e-08,"Up"
"ENSG00000238160",5.58458344299756e-05,3.83256065392398,0.000628357748751224,"Up"
"ENSG00000187608",4.85441885905114e-09,3.82986655194841,1.70447212762802e-07,"Up"
"ENSG00000043462",0.000231446371301865,3.82502347458963,0.00204718607249115,"Up"
"ENSG00000230825",1.9907770302656e-14,3.8225385648214,1.93218668189519e-12,"Up"
"ENSG00000169429",5.97589175754274e-13,3.81135431333598,4.44487201255734e-11,"Up"
"ENSG00000023445",4.60055782257253e-34,3.8109697576646,3.78768684730144e-31,"Up"
"ENSG00000175311",8.4146791785484e-13,3.79169047936124,6.10665288957513e-11,"Up"
"ENSG00000122862",2.28487936382017e-12,3.77789401396934,1.52384859470867e-10,"Up"
"ENSG00000267532",0.000353001639750797,3.76808603112456,0.00292343640329172,"Up"
"ENSG00000267561",0.000240893339352421,3.76647043540841,0.00211532525574785,"Up"
"ENSG00000276070",0.00127590541620951,3.75899700253397,0.00847385750136806,"Up"
"ENSG00000179165",1.84189687281229e-08,3.74913111301552,5.57378070155467e-07,"Up"
"ENSG00000119508",1.67221805161874e-26,3.74838220300247,7.67805350008634e-24,"Up"
"ENSG00000041353",1.48280025067256e-11,3.72902698396851,8.65607305258143e-10,"Up"
"ENSG00000198910",6.93292263942228e-08,3.72862786914483,1.85364457938238e-06,"Up"
"ENSG00000285700",0.000239302928056428,3.72066012570024,0.00210445551023031,"Up"
"ENSG00000140968",2.38806006819991e-31,3.72058440291712,1.50045584706161e-28,"Up"
"ENSG00000100593",9.52450394441302e-08,3.71142262001141,2.44523716319145e-06,"Up"
"ENSG00000161133",0.000136687374472549,3.6999163134506,0.00132722430076282,"Up"
"ENSG00000214216",0.000145671761911072,3.68485259578365,0.00139737203189584,"Up"
"ENSG00000141433",0.000419715463328433,3.68217369548293,0.00335941213624863,"Up"
"ENSG00000120279",3.25241612678605e-13,3.68062158680349,2.53310890594155e-11,"Up"
"ENSG00000161180",3.58641704542872e-06,3.67350281411708,5.89977952697023e-05,"Up"
"ENSG00000159167",4.87173025907528e-16,3.66687380205136,6.25362535836997e-14,"Up"
"ENSG00000157303",6.66785302709354e-09,3.66409008205403,2.26782989850264e-07,"Up"
"ENSG00000169248",0.000145295064589755,3.65731850013751,0.0013943187146885,"Up"
"ENSG00000104371",0.000636867946492488,3.65722569717824,0.00476374031655847,"Up"
"ENSG00000150275",1.81418755979922e-17,3.65383346789093,2.88770281185107e-15,"Up"
"ENSG00000073861",1.80485641569534e-05,3.63820897542423,0.000239543032731335,"Up"
"ENSG00000151360",1.78593001881725e-05,3.6284213329101,0.000237685981768566,"Up"
"ENSG00000205413",1.8026860922575e-09,3.62232465241921,6.93090710768761e-08,"Up"
"ENSG00000179148",3.56752377486901e-06,3.61660083465123,5.87841253614716e-05,"Up"
"ENSG00000168404",1.00064625799839e-11,3.60568633548884,6.01799245742308e-10,"Up"
"ENSG00000142583",8.52033687578627e-30,3.60472491067556,4.96174544503105e-27,"Up"
"ENSG00000124216",2.63128730118717e-17,3.58968942239186,4.0795204937107e-15,"Up"
"ENSG00000181472",1.18876034894342e-38,3.5883053489451,1.64488788302483e-35,"Up"
"ENSG00000221955",2.58255960656649e-30,3.58587823125742,1.54152982915954e-27,"Up"
"ENSG00000204516",4.86508134159489e-33,3.58399582872418,3.51996006399757e-30,"Up"
"ENSG00000166268",2.37383043067398e-26,3.57764036336114,1.03050137023222e-23,"Up"
"ENSG00000101096",3.40779431862561e-22,3.57506515462583,9.80295146403676e-20,"Up"
"ENSG00000250994",0.000114695133926844,3.56333797675386,0.00115109752738013,"Up"
"ENSG00000164236",2.28767503078804e-17,3.55880231085592,3.59345585757205e-15,"Up"
"ENSG00000172927",0.000377777732309298,3.55126567642119,0.00308475415068974,"Up"
"ENSG00000114204",0.00119736979077947,3.5487708460806,0.00804174433886096,"Up"
"ENSG00000162897",0.000433793993880535,3.54481413046015,0.00344751500662549,"Up"
"ENSG00000106366",7.61557056965088e-34,3.53338303128058,6.06097876403281e-31,"Up"
"ENSG00000197748",3.85206416231079e-13,3.52949476496229,2.91974234728039e-11,"Up"
"ENSG00000233030",8.46632164913631e-07,3.52097025604618,1.67059417929569e-05,"Up"
"ENSG00000232656",1.51931457769005e-06,3.50201874540486,2.78825171844178e-05,"Up"
"ENSG00000049247",0.000186508225798689,3.50134281547998,0.00171337837597903,"Up"
"ENSG00000163661",7.0807511768095e-27,3.494651134183,3.3149022568138e-24,"Up"
"ENSG00000184979",1.74354419814917e-09,3.49132142366142,6.7143324637112e-08,"Up"
"ENSG00000189325",9.46944681186432e-08,3.47849286948599,2.43634172500078e-06,"Up"
"ENSG00000176907",0.000115536303815531,3.46709939227401,0.00115759328153572,"Up"
"ENSG00000254445",0.00121481388475191,3.46354578513008,0.00813373424350441,"Up"
"ENSG00000168811",6.86225026923648e-07,3.44429978373863,1.39678676409454e-05,"Up"
"ENSG00000176749",6.59505124958365e-10,3.43744877172837,2.74326556855504e-08,"Up"
"ENSG00000224420",6.6335071819081e-08,3.43717063942176,1.77967064245785e-06,"Up"
"ENSG00000114771",6.86922242174655e-07,3.42156684035494,1.39701494498825e-05,"Up"
"ENSG00000171388",9.12844937101868e-10,3.40478212694006,3.67539388166007e-08,"Up"
"ENSG00000140465",5.58601096201056e-06,3.39628009596212,8.7000389908e-05,"Up"
"ENSG00000054356",2.36385604627735e-21,3.39142962640608,5.8184976248369e-19,"Up"
"ENSG00000159261",1.18369982167495e-05,3.39037545899476,0.000167554767019499,"Up"
"ENSG00000236453",1.63519906546399e-05,3.38475458412231,0.000219707444496444,"Up"
"ENSG00000106785",1.78819740568145e-10,3.3835733930374,8.25822074623797e-09,"Up"
"ENSG00000188306",0.00129683104835548,3.36105814216393,0.00858894261041205,"Up"
"ENSG00000286113",0.000237022462434223,3.36017801313726,0.00208824660999244,"Up"
"ENSG00000185022",2.98370935808827e-33,3.34456841029618,2.29803369786179e-30,"Up"
"ENSG00000269755",0.000251926143945378,3.34444974954931,0.00219701452927623,"Up"
"ENSG00000126368",2.21785071373576e-25,3.33903428610704,8.68088584281229e-23,"Up"
"ENSG00000100625",1.34883588846396e-21,3.33558297536408,3.50052235575711e-19,"Up"
"ENSG00000234290",6.26974756760666e-10,3.33293913930542,2.62625426182766e-08,"Up"
"ENSG00000185101",1.94920270193835e-05,3.32539875210852,0.000256358966968579,"Up"
"ENSG00000188993",6.17797961430978e-07,3.32514822497591,1.26831849760327e-05,"Up"
"ENSG00000182798",0.000371781337186353,3.32009990419195,0.0030451633642063,"Up"
"ENSG00000100906",6.99075953330576e-17,3.31739090833815,1.01158408858914e-14,"Up"
"ENSG00000011422",1.98513357256765e-15,3.31671620175392,2.31065088807415e-13,"Up"
"ENSG00000056291",6.97903044285173e-06,3.31048352120865,0.000105063890828202,"Up"
"ENSG00000130589",3.60352337810734e-11,3.29497010637835,1.92048491463595e-09,"Up"
"ENSG00000131471",1.07987579049225e-11,3.2925797356118,6.44577859344821e-10,"Up"
"ENSG00000125531",2.33936500605009e-09,3.28695230109146,8.76839542927031e-08,"Up"
"ENSG00000124134",4.5173966001075e-07,3.27738373078993,9.64048830003262e-06,"Up"
